                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0441,                 2.7096,                 2.6696,                0.36032,                 0.2193,                 0.1849,                 0.0912,                 2.1027,                 3.8002,                 3.0085,              0.0013356,              0.0013356,              0.0013356
                     35,                 2.0122,                 2.6016,                 2.6702,                 0.6654,                0.22222,                0.29509,                0.17602,                 2.0192,                 3.8203,                 2.9437,              0.0013328,              0.0013328,              0.0013328
                     36,                 1.9756,                 2.5049,                 2.6039,                0.66889,                0.32432,                0.30659,                0.17587,                 2.0629,                 3.7892,                 2.8607,                0.00133,                0.00133,                0.00133
                     37,                  1.921,                 2.5498,                 2.5944,                0.55688,                0.22502,                0.24294,                0.12012,                 1.9951,                 4.2889,                 2.9189,              0.0013271,              0.0013271,              0.0013271
                     38,                 1.9847,                 2.5873,                 2.6467,                0.97169,                0.22222,                0.29022,                0.16948,                 2.1112,                 3.9675,                 2.9568,              0.0013243,              0.0013243,              0.0013243
                     39,                 1.9518,                 2.5927,                 2.6384,                0.98736,                0.22222,                0.30769,                0.17028,                 1.9625,                 3.8064,                 2.9255,              0.0013215,              0.0013215,              0.0013215
                     40,                 1.8685,                 2.4703,                 2.5396,                0.97126,                0.16667,                0.24534,                0.13854,                 1.9382,                 4.3081,                 2.8798,              0.0013187,              0.0013187,              0.0013187
                     41,                 1.8879,                  2.439,                 2.5683,                0.88209,                0.11111,                0.28666,                0.16052,                 1.8919,                 3.6116,                 2.7868,              0.0013158,              0.0013158,              0.0013158
                     42,                 1.9063,                 2.4415,                  2.569,                0.44406,                0.59064,                0.48842,                0.30244,                 2.0063,                 3.6375,                 2.9564,               0.001313,               0.001313,               0.001313
                     43,                 1.8615,                 2.3527,                 2.5253,                0.23509,                0.30395,                0.25459,                0.12233,                 2.1238,                 3.1911,                 3.0308,              0.0013102,              0.0013102,              0.0013102
                     44,                 1.8649,                 2.4288,                  2.516,                0.29637,                0.28363,                0.27522,                0.16393,                 1.9993,                 3.9875,                 2.9313,              0.0013073,              0.0013073,              0.0013073
                     45,                 1.8521,                  2.344,                 2.4827,                0.24284,                0.45322,                 0.2962,                0.15678,                 1.9508,                 3.6059,                  2.831,              0.0013045,              0.0013045,              0.0013045
                     46,                  1.868,                 2.3666,                 2.4951,                0.41677,                0.47953,                0.42178,                0.22583,                 1.9349,                 4.1125,                 2.8351,              0.0013017,              0.0013017,              0.0013017
                     47,                 1.7775,                 2.3037,                 2.4509,                0.98181,                0.22222,                 0.3363,                0.17487,                  1.978,                 3.4815,                 2.8498,              0.0012988,              0.0012988,              0.0012988
                     48,                 1.7555,                 2.2418,                 2.4272,                0.30784,                0.48027,                0.34184,                0.20457,                  1.935,                 3.8061,                 2.8953,               0.001296,               0.001296,               0.001296
                     49,                 1.7604,                 2.2799,                 2.4546,                0.39776,                 0.3655,                0.36897,                0.21132,                 1.9806,                 3.7757,                  2.899,              0.0012932,              0.0012932,              0.0012932
                     50,                 1.7968,                 2.2904,                 2.4486,                0.56369,                0.45618,                0.50604,                0.28445,                  1.939,                 3.1066,                 2.8832,              0.0012904,              0.0012904,              0.0012904
                     51,                 1.7402,                  2.153,                 2.4067,                0.62412,                0.21461,                0.17469,                0.10516,                 2.0497,                 4.2387,                 3.1433,              0.0012875,              0.0012875,              0.0012875
                     52,                 1.7258,                 2.1919,                 2.3785,                0.44505,                0.62865,                 0.5863,                0.30697,                 1.9978,                 3.4418,                 3.0267,              0.0012847,              0.0012847,              0.0012847
